ID,UltAct_datos,UltAct_meta,Fecha_creacion,Sumi_datos,Propietario,Dependencia,Entidad,Departamento,Municipio,Orden,Sector,Idioma,Cobertura,Frec_actual,Emision
1,28 de diciembre de 2022,8 de julio de 2022,30 de septiembre de 2019,Colombia Compra Eficiente,Colombia Compra Eficiente,Subdirección de IDT,Agencia Nacional de Contratación Pública Colombia Compra Eficiente,Bogotá D.C.,Bogotá D.C.,Nacional,Planeación,Español,Nacional,Diaria,2019-10-01
2,24 de septiembre de 2020,15 de julio de 2022,17 de mayo de 2017,Comisión de Regulación de Energía y Gas,Comisión de Regulación de Energía y Gas,Mauricio Velosa,Comisión de Regulación de Energía y Gas,Bogotá D.C.,Bogotá D.C.,Nacional,Minas y Energía,Español,Nacional,Anual,2017-05-17
3,10 de agosto de 2016,14 de octubre de 2020,10 de agosto de 2016,Alcaldía Municipal de Neiva en Huila,Secretaria TIC,ALCALDIA MUNICIPAL DE NEIVA,Alcaldía Municipal de Neiva,Huila,Neiva,Territorial,Función Pública,Español,Municipal,Anual,2016-02-05
4,13 de mayo de 2019,15 de julio de 2022,13 de octubre de 2016,MINISTERIO DE MINAS Y ENERGÍA,Ministerio de Minas y Energia,MinMinas,Ministerio de Minas y Energía,Bogotá D.C.,Bogotá D.C.,Nacional,Minas y Energía,Español,Nacional,Anual,2016-10-13
5,16 de diciembre de 2022,16 de diciembre de 2022,11 de mayo de 2018,Agencia Nacional de Minería ANM,ANM Agencia Nacional de Minería Contratos,Grupo de Contratos,Agencia Nacional de Minería,Bogotá D.C.,Bogotá D.C.,Nacional,Minas y Energía,Español,Nacional,Mensual,2018-04-27
6,16 de diciembre de 2022,16 de diciembre de 2022,11 de mayo de 2018,Agencia Nacional de Minería ANM,ANM Agencia Nacional de Minería Contratos,Grupo de Contratos,Agencia Nacional de Minería,Bogotá D.C.,Bogotá D.C.,Nacional,Minas y Energía,Español,Nacional,Mensual,2018-04-27
7,1 de febrero de 2021,15 de julio de 2022,1 de febrero de 2021,Alcaldía de Caucasia,Alcaldía de Caucasia,ALCALDIA DE CAUCASIA,Alcaldía Municipal de Caucasia,Antioquia,Caucasia,Territorial,Función Pública,Español,Nacional,Anual,29-12-2021
8,26 de enero de 2021,15 de julio de 2022,26 de enero de 2021,Planeación,ALCALDIA MUNICIPAL SAN ANDRÉS,Sistemas,Alcaldía Municipal de San Andrés Santander,Santander,San Andrés,Nacional,Planeación,Español,Nacional,Anual,2021/01/26
9,29 de enero de 2019,15 de julio de 2022,29 de enero de 2019,Alcaldía Municipal de Subachoque,Alcaldía de Subachoque,Planeación,Alcaldía Municipal de Subachoque,Cundinamarca,Subachoque,Territorial,Función Pública,Español,Municipal,Anual,2019 01 29
10,20 de septiembre de 2019,20 de septiembre de 2019,20 de septiembre de 2019,Alcaldía Municipal de Planadas Tolima,Alcaldia Municipal Planadas Tolima,Secretaria de Hacienda Municipal,Alcaldía Municipal de Planadas,Tolima,Planadas,Territorial,No Aplica,Español,Municipal,Anual,2019-01-30
