ID,Nombre,Descripcion,Tipo
1,Entidad,Nombre de la Entidad que publica el proceso de compra pública,Texto simple
1,Nit Entidad,NIT de la Entidad que publicó el proceso,Texto simple
1,Departamento Entidad,Departamento en el cual está registrada la entidad,Texto simple
1,Ciudad Entidad,Ciudad en la cual está registrada la entidad,Texto simple
1,OrdenEntidad,"Orden de la Entidad (Nacional, Regional)",Texto simple
1,Entidad Centralizada,Identifica si la entidad es o no centralizada,Texto simple
1,ID del Proceso,"Identificador Único del Proceso, valor generado por la plataforma",Texto simple
1,Referencia del Proceso,"Identificador del Proceso, valor generado por la Entidad",Texto simple
1,PCI,Codigo de Unidad - Sub Unidad Contratación,Texto simple
1,ID del Portafolio,Identificador del Portafolio al cual corresponde el proceso de compra,Texto simple
1,Nombre del Procedimiento,Nombre dado al proceso de compra por la Entidad,Texto simple
1,Descripción del Procedimiento,Primera definición de las características principales del proceso,Texto simple
1,Fase,Fase en la que actualmente se encuentra el proceso,Texto simple
1,Fecha de Publicacion del Proceso,Fecha de la publicación inicial del proceso de compra,Fecha y hora
1,Fecha de Ultima Publicación,Fecha de la última publicación hecha para el proceso de compra,Fecha y hora
1,Fecha de Publicacion (Fase Planeacion Precalificacion),"Fecha de publicación, dentro del proceso, de la fase de Planeación en Precalificación",Fecha y hora
1,Fecha de Publicacion (Fase Seleccion Precalificacion),"Fecha de publicación, dentro del proceso, de la fase de Selección en Precalificación",Fecha y hora
1,Fecha de Publicacion (Manifestacion de Interes),"Fecha de publicación, dentro del proceso, de la fase de Manifestación de Interés",Fecha y hora
1,Fecha de Publicacion (Fase Borrador),"Fecha de publicación, dentro del proceso, de la fase Borrador",Fecha y hora
1,Fecha de Publicacion (Fase Seleccion),"Fecha de publicación, dentro del proceso, de la fase Selección",Fecha y hora
1,Precio Base,"Precio Base, proyectado, del proceso de Compra",Número
1,Modalidad de Contratacion,Modalidad de selección bajo la cual se desarrolla el proceso de Compra,Texto simple
1,Justificación Modalidad de Contratación,"En caso de requerirse, Justificación para la modalidad de selección elegida para el proceso de compra",Texto simple
1,Duracion,Valor de la Duración estimada del proceso de compra pública,Número
1,Unidad de Duracion,Unidad que aplica a la Duración estimada del proceso de compra pública,Texto simple
1,Fecha de Recepcion de Respuestas,"Fecha asignada para la recepción de respuestas por parte de los proveedores, dentro del proceso de compra",Fecha y hora
1,Fecha de Apertura de Respuesta,Fecha Estimada para la Apertura de las respuestas,Fecha y hora
1,Fecha de Apertura Efectiva,Fecha Real para la Apertura de las respuestas,Fecha y hora
1,Ciudad de la Unidad de Contratación,Cuidad en la que aparece registrada la unidad de contratación de la Entidad,Texto simple
1,Nombre de la Unidad de Contratación,Nombre de la unidad de contratación de la Entidad,Texto simple
1,Proveedores Invitados,"Número de Proveedores invitados a participar del proceso, en total",Número
1,Proveedores con Invitacion Directa,Proveedores con Invitación a participar hecha de forma directa,Número
1,Visualizaciones del Procedimiento,"Número de Visualizaciones hechas a través de la herramienta, del Proceso de Compra",Número
1,Proveedores que Manifestaron Interes,Proveedores que Manifestaron Interés en el proceso a través de la plataforma,Número
1,Respuestas al Procedimiento,"Respuestas hechas al procedimiento, tanto de proveedores como de la misma entidad",Número
1,Respuestas Externas,Número de Respuestas hechas por entes externos,Número
1,Conteo de Respuestas a Ofertas,Número de Respuestas hechas de forma directa en las ofertas,Número
1,Proveedores Unicos con Respuestas,Proveedores Únicos que han redactado respuestas en el proceso,Número
1,Numero de Lotes,Número de lotes de articulos solicitados dentro del proceso,Número
1,Estado del Procedimiento,Estado actual de desarrollo del procedimiento de compra pública,Texto simple
1,ID Estado del Procedimiento,Identificador del Estado del procedimiento,Número
1,Adjudicado,Determina si el proceso fue adjudicado,Texto simple
1,ID Adjudicacion,Identificador de la adjudicación,Texto simple
1,CodigoProveedor,"Código, en la plataforma, del proveedor adjudicado",Texto simple
1,Departamento Proveedor,Departamento en el que está registrado el proveedor adjudicado,Texto simple
1,Ciudad Proveedor,Ciudad en la que está registrado el proveedor adjudicado,Texto simple
1,Fecha Adjudicacion,Fecha en la que se hizo la adjudicación del proceso para el proveedor seleccionado,Fecha y hora
1,Valor Total Adjudicacion,Valor total Adjudicado,Número
1,Nombre del Adjudicador,Nombre del Usuario que ejecutó la accion de adjudicación,Texto simple
1,Nombre del Proveedor Adjudicado,Nombre del Proveedor Adjudicado,Texto simple
1,NIT del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Texto simple
1,Codigo Principal de Categoria,Codigo UNSPSC de la categoría principal del producto o servicio adquirido en proceso de compra,Texto simple
1,Estado de Apertura del Proceso,Estado actual de Apertura de información del proceso,Texto simple
1,Tipo de Contrato,Tipo de Contrato definido para el proceso de compra,Texto simple
1,Subtipo de Contrato,Subtipo de Contrato definido para el proceso de compra,Texto simple
1,Categorias Adicionales,"Identificador de las categorías UNSPSC adicionales, incluidas en el producto o servicio adquirido en proceso de compra",Texto simple
1,URLProceso,"URL, en la plataforma, en la que se puede consultar el proceso de compra",URL del sitio web
1,Codigo Entidad,Identificador único de la Entidad en la plataforma,Texto simple
1,Estado Resumen,Resumen de la lógica de estados para identificar si un proceso de compra ha sido adjudicado o si se encuentra en una fase del proceso de selección,Texto simple
2,Códigos UNSPSC,,Número
2,Descripción,,Texto simple
2,Fecha estimada de inicio de proceso de selección,Fecha estimada de inicio de proceso de selección (mes),Texto simple
2,Fecha estimada presentacion ofertas,Fecha estimada de presentación de ofertas,Texto simple
2,Duración estimada del contrato,Duración del contrato (número),Número
2,Duracion contrato en,Duración del contrato en,Texto simple
2,Modalidad de selección,,Texto simple
2,Fuente de los recursos,,Texto simple
2,Valor total estimado,,Número
2,Valor estimado en la vigencia actual,,Número
2,¿Se requieren vigencias futuras?,,Texto simple
2,Estado de solicitud de vigencias futuras,,Texto simple
2,Unidad de contratacion,Unidad de contratación (referencia),Texto simple
2,Ubicacion,Ubicación,Texto simple
2,Datos de contacto del responsable,Correo electrónico del responsable,Texto simple
2,anho,Año del PAA,Número
3,Códigos UNSPSC,,Número
3,Descripción,,Texto simple
3,Fecha estimada de inicio de proceso de selección,,Fecha y hora
3,Duración estimada del contrato,,Texto simple
3,Modalidad de selección,,Texto simple
3,Fuente de los recursos,,Número
3,Valor total estimado,,Número
3,Valor estimado en la vigencia actual,,Número
3,¿Se requieren vigencias futuras?,,Texto simple
3,Estado de solicitud de vigencias futuras,,Texto simple
3,Datos de contacto del responsable,,Texto simple
4,Año Publicación,Año de Publicacion,Texto simple
4,Mes,Mes de Publicación de información.,Texto simple
4,Tipo,Tipo de Proyecto,Texto simple
4,Códigos UNSPSC,Códigos UNSPSC,Texto simple
4,Descripción,Descripcion,Texto simple
4,Fecha estimada de inicio de proceso de selección,Fecha de Inicio del Proceso,Texto simple
4,Duración estimada del contrato,Duracion del Contrato,Texto simple
4,Modalidad de selección,Modalidad de selección,Texto simple
4,Fuente de los recursos,Fuente de los recursos,Texto simple
4,Valor total estimado,Valor total estimado,Número
4,Valor estimado en la vigencia actual,Valor estimado en la vigencia actual,Número
4,¿Se requieren vigencias futuras?,¿Se requieren vigencias futuras?,Texto simple
4,Estado de solicitud de vigencias futuras,Estado de solicitud de vigencias futuras,Texto simple
4,Datos de contacto del responsable,,Texto simple
5,Vigencia,,Número
5,Version/Modificacion,,Texto simple
5,Código UNSPSC (cada código separado por ;),,Texto simple
5,Descripción,,Texto simple
5,Fecha estimada de inicio de proceso de selección (mes),,Texto simple
5,Fecha estimada de presentación de ofertas (mes),,Texto simple
5,Duración estimada del contrato (número),,Número
5,"Duración estimada del contrato (intervalo: días, meses, años)",,Texto simple
5,Modalidad de selección,,Texto simple
5,Fuente de los recursos,,Texto simple
5,Valor total estimado,,Texto simple
5,Valor estimado en la vigencia actual,,Texto simple
5,¿Se requieren vigencias futuras?,,Texto simple
5,Estado de solicitud de vigencias futuras,,Texto simple
5,Unidad de contratación (referencia),,Texto simple
5,Ubicación,,Texto simple
5,Nombre del responsable,,Texto simple
5,Teléfono del responsable,,Texto simple
5,Correo electrónico del responsable,,Texto simple
6,MODIFICACIÓN PAA,,Texto simple
6,Código UNSPSC (cada código separado por ;),,Texto simple
6,Descripción,,Texto simple
6,Fecha estimada de inicio de proceso de selección (mes),,Texto simple
6,Fecha estimada de presentación de ofertas (mes),,Texto simple
6,Duración estimada del contrato (número),,Número
6,"Duración estimada del contrato (intervalo: días, meses, años)",,Texto simple
6,Modalidad de selección,,Texto simple
6,Fuente de los recursos,,Texto simple
6,Valor total estimado,,Texto simple
6,Valor estimado en la vigencia actual,,Texto simple
